group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
http_server_bench,,25,289675,bytes,52004356.0,ns,4
http_server_bench,,25,289675,bytes,52006375.0,ns,4
http_server_bench,,25,289675,bytes,52001579.0,ns,4
http_server_bench,,25,289675,bytes,51997189.0,ns,4
http_server_bench,,25,289675,bytes,51976073.0,ns,4
http_server_bench,,25,289675,bytes,52022456.0,ns,4
http_server_bench,,25,289675,bytes,51936904.0,ns,4
http_server_bench,,25,289675,bytes,52109273.0,ns,4
http_server_bench,,25,289675,bytes,51948398.0,ns,4
http_server_bench,,25,289675,bytes,52001608.0,ns,4
http_server_bench,,25,289675,bytes,51996374.0,ns,4
http_server_bench,,25,289675,bytes,52014859.0,ns,4
http_server_bench,,25,289675,bytes,52019343.0,ns,4
http_server_bench,,25,289675,bytes,51956393.0,ns,4
http_server_bench,,25,289675,bytes,52028659.0,ns,4
http_server_bench,,25,289675,bytes,51969643.0,ns,4
http_server_bench,,25,289675,bytes,53007168.0,ns,4
http_server_bench,,25,289675,bytes,52015056.0,ns,4
http_server_bench,,25,289675,bytes,51995363.0,ns,4
http_server_bench,,25,289675,bytes,51991156.0,ns,4
http_server_bench,,25,289675,bytes,51971913.0,ns,4
http_server_bench,,25,289675,bytes,52066780.0,ns,4
http_server_bench,,25,289675,bytes,51939652.0,ns,4
http_server_bench,,25,289675,bytes,51986436.0,ns,4
http_server_bench,,25,289675,bytes,53028774.0,ns,4
http_server_bench,,25,289675,bytes,51953751.0,ns,4
http_server_bench,,25,289675,bytes,52162345.0,ns,4
http_server_bench,,25,289675,bytes,51884949.0,ns,4
http_server_bench,,25,289675,bytes,51986001.0,ns,4
http_server_bench,,25,289675,bytes,52006122.0,ns,4
http_server_bench,,25,289675,bytes,52089239.0,ns,4
http_server_bench,,25,289675,bytes,51942268.0,ns,4
http_server_bench,,25,289675,bytes,51983380.0,ns,4
http_server_bench,,25,289675,bytes,52081894.0,ns,4
http_server_bench,,25,289675,bytes,51897261.0,ns,4
http_server_bench,,25,289675,bytes,52008383.0,ns,4
http_server_bench,,25,289675,bytes,51975042.0,ns,4
http_server_bench,,25,289675,bytes,52017159.0,ns,4
http_server_bench,,25,289675,bytes,51977322.0,ns,4
http_server_bench,,25,289675,bytes,52018332.0,ns,4
http_server_bench,,25,289675,bytes,52017640.0,ns,4
http_server_bench,,25,289675,bytes,52023964.0,ns,4
http_server_bench,,25,289675,bytes,51974399.0,ns,4
http_server_bench,,25,289675,bytes,52009951.0,ns,4
http_server_bench,,25,289675,bytes,51978548.0,ns,4
http_server_bench,,25,289675,bytes,52011354.0,ns,4
http_server_bench,,25,289675,bytes,52001521.0,ns,4
http_server_bench,,25,289675,bytes,51973857.0,ns,4
http_server_bench,,25,289675,bytes,53018606.0,ns,4
http_server_bench,,25,289675,bytes,51983242.0,ns,4
http_server_bench,,25,289675,bytes,52000648.0,ns,4
http_server_bench,,25,289675,bytes,51995934.0,ns,4
http_server_bench,,25,289675,bytes,51983309.0,ns,4
http_server_bench,,25,289675,bytes,52041239.0,ns,4
http_server_bench,,25,289675,bytes,51981432.0,ns,4
http_server_bench,,25,289675,bytes,51974351.0,ns,4
http_server_bench,,25,289675,bytes,52063338.0,ns,4
http_server_bench,,25,289675,bytes,51957416.0,ns,4
http_server_bench,,25,289675,bytes,52998115.0,ns,4
http_server_bench,,25,289675,bytes,52147266.0,ns,4
http_server_bench,,25,289675,bytes,51843344.0,ns,4
http_server_bench,,25,289675,bytes,52108454.0,ns,4
http_server_bench,,25,289675,bytes,51900148.0,ns,4
http_server_bench,,25,289675,bytes,52014689.0,ns,4
http_server_bench,,25,289675,bytes,51935750.0,ns,4
http_server_bench,,25,289675,bytes,52018698.0,ns,4
http_server_bench,,25,289675,bytes,52060184.0,ns,4
http_server_bench,,25,289675,bytes,52059128.0,ns,4
http_server_bench,,25,289675,bytes,51917874.0,ns,4
http_server_bench,,25,289675,bytes,51982864.0,ns,4
http_server_bench,,25,289675,bytes,52001394.0,ns,4
http_server_bench,,25,289675,bytes,52016744.0,ns,4
http_server_bench,,25,289675,bytes,51994657.0,ns,4
http_server_bench,,25,289675,bytes,51993164.0,ns,4
http_server_bench,,25,289675,bytes,51986419.0,ns,4
http_server_bench,,25,289675,bytes,52000504.0,ns,4
http_server_bench,,25,289675,bytes,51986306.0,ns,4
http_server_bench,,25,289675,bytes,52043047.0,ns,4
http_server_bench,,25,289675,bytes,51963727.0,ns,4
http_server_bench,,25,289675,bytes,51999834.0,ns,4
http_server_bench,,25,289675,bytes,52024258.0,ns,4
http_server_bench,,25,289675,bytes,52096551.0,ns,4
http_server_bench,,25,289675,bytes,51915276.0,ns,4
http_server_bench,,25,289675,bytes,51935820.0,ns,4
http_server_bench,,25,289675,bytes,52026251.0,ns,4
http_server_bench,,25,289675,bytes,52014875.0,ns,4
http_server_bench,,25,289675,bytes,51952538.0,ns,4
http_server_bench,,25,289675,bytes,52037802.0,ns,4
http_server_bench,,25,289675,bytes,51980429.0,ns,4
http_server_bench,,25,289675,bytes,51979232.0,ns,4
http_server_bench,,25,289675,bytes,52030605.0,ns,4
http_server_bench,,25,289675,bytes,52010268.0,ns,4
http_server_bench,,25,289675,bytes,51980080.0,ns,4
http_server_bench,,25,289675,bytes,52077321.0,ns,4
http_server_bench,,25,289675,bytes,51906950.0,ns,4
http_server_bench,,25,289675,bytes,52011996.0,ns,4
http_server_bench,,25,289675,bytes,51984735.0,ns,4
http_server_bench,,25,289675,bytes,51995932.0,ns,4
http_server_bench,,25,289675,bytes,52032575.0,ns,4
http_server_bench,,25,289675,bytes,51969414.0,ns,4
